구분,상호명,소재지,객실수,연락처,비고,Latitude,Longitude
관광호텔업,그라벨 호텔,제주특별자치도 제주시 일주서로 7316,141,064-740-8010,특이사항없음,33.4924349,126.4287034
관광호텔업,HOTEL LEO,제주특별자치도 제주시 삼무로 14,95,064-754-7000,특이사항없음,33.4897519,126.4882605
관광호텔업,아이진호텔,제주특별자치도 제주시 신대로22길 4,75,064-745-0700,특이사항없음,33.4824636,126.4948129
관광호텔업,아스타호텔,제주특별자치도 제주시 서사로 129,130,064-710-1100,특이사항없음,33.5008535,126.5202518
관광호텔업,심스호텔,제주특별자치도 제주시 임항로 249,92,064-750-8988,특이사항없음,33.5178315,126.5395719
관광호텔업,케이 관광호텔,제주특별자치도 제주시 연동3길 10,41,064-743-2123,특이사항없음,33.4890526,126.4879189
관광호텔업,애월비치호텔,제주특별자치도 제주시 애월읍 애월해안로 554-10,94,064-799-3544,특이사항없음,33.477337,126.3628356
관광호텔업,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,62,064-741-5000,특이사항없음,33.4795656,126.3732311
관광호텔업,사하라 호텔,제주특별자치도 제주시 서광로 265,37,064-721-0707,특이사항없음,33.5002663,126.5247464
관광호텔업,신라스테이제주,제주특별자치도 제주시 노연로 100,301,064-717-9000,특이사항없음,33.4855434,126.4908994
관광호텔업,제니아관광호텔,제주특별자치도 제주시 은남1길 25,67,064-797-9000,특이사항없음,33.4891057,126.4931111
관광호텔업,제주갤럭시호텔,제주특별자치도 제주시 남성로 33,85,064-750-3355,특이사항없음,33.5031537,126.5125886
관광호텔업,베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,88,064-799-3544,특이사항없음,33.4777407,126.3624077
관광호텔업,해마 호텔,제주특별자치도 제주시 삼무로 28,89,064-766-4000,특이사항없음,33.4897173,126.489565
관광호텔업,에스호텔,제주특별자치도 제주시 오일장중길 26,88,064-749-9928,특이사항없음,33.4954164,126.4714525
관광호텔업,블랙샌즈관광호텔,제주특별자치도 제주시 선사로 8,78,064-740-0888,특이사항없음,33.5220167,126.5873253
관광호텔업,호텔더원,제주특별자치도 제주시 사장3길 33,180,064-798-0001,특이사항없음,33.4826842,126.4914063
관광호텔업,제주인관광호텔,제주특별자치도 제주시 신산마을길 20,79,064-741-1100,특이사항없음,33.4919312,126.4458048
관광호텔업,제주코아관광호텔,제주특별자치도 제주시 신대로 148,65,064-744-6600,특이사항없음,33.4841721,126.4960729
관광호텔업,하버호텔,제주특별자치도 제주시 임항로 260,30,064-754-6000,특이사항없음,33.5177066,126.538286
관광호텔업,탐라스테이,제주특별자치도 제주시 애월읍 애월해안로 881,116,064-742-8848,특이사항없음,33.4869581,126.3912308
관광호텔업,스카이힐비즈니스 관광호텔,제주특별자치도 제주시 서광로24길 1,78,064-751-5177,특이사항없음,33.4994711,126.5232929
관광호텔업,슬림관광호텔,제주특별자치도 제주시 서광로 292-1,42,064-722-1551,특이사항없음,33.500198,126.5277407
관광호텔업,인덱스 제이드림호텔,제주특별자치도 제주시 은남1길 40,77,064-797-6900,특이사항없음,33.4894347,126.4915605
관광호텔업,어반아일랜드호텔,제주특별자치도 제주시 삼무로 76,70,064-740-1900,특이사항없음,33.4895701,126.4947409
관광호텔업,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,91,064-800-4000,특이사항없음,33.4848818,126.4089787
관광호텔업,오드리 인,제주특별자치도 제주시 서해안로 100,82,064-710-8000,특이사항없음,33.5031623,126.4601794
관광호텔업,스위트캐슬,제주특별자치도 제주시 조천읍 신북로 443,90,064-731-3700,특이사항없음,33.5441827,126.6571156
관광호텔업,호텔난타,제주특별자치도 제주시 선돌목동길 56-26  ,204,064-727-0603,특이사항없음,33.4456536,126.5475963
관광호텔업,(주)호텔샬롬,제주특별자치도 제주시 동광로 34,176,064-720-7700,특이사항없음,33.5019708,126.5326314
관광호텔업,제주레슬리호텔,제주특별자치도 제주시 광평길 3,96,064-713-6800,특이사항없음,33.4811852,126.4707066
관광호텔업,제주노블레스 관광호텔,제주특별자치도 제주시 월성로4길 19,150,064-748-7161,특이사항없음,33.5011514,126.5033866
관광호텔업,호텔 시리우스,제주특별자치도 제주시 도령로 133,280,,특이사항없음,33.4934411,126.4910541
관광호텔업,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,83,064-799-2600,특이사항없음,33.4725009,126.3504542
관광호텔업,시티홀관광호텔제주,제주특별자치도 제주시 동광로4길 9-4,30,064-726-5678,특이사항없음,33.5007936,126.5319854
관광호텔업,그랜드하얏트 제주,제주특별자치도 제주시 노연로 12,750,064-795-6336,특이사항없음,33.4853796,126.4815295
관광호텔업,아루미호텔 협재점,제주특별자치도 제주시 한림읍 한림로 545,55,064-738-9780,특이사항없음,33.4063613,126.2562935
관광호텔업,에코랜드 호텔,제주특별자치도 제주시 조천읍 남조로 1982,200,064-802-8054,특이사항없음,33.4482158,126.6722853
관광호텔업,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75 ,429,064-735-5114,특이사항없음,33.2471631,126.4079553
관광호텔업,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,500,064-731-1000,특이사항없음,33.2482702,126.4104128
관광호텔업,파르나스 호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 100 ,307,064-733-1234,특이사항없음,33.2477763,126.4086974
관광호텔업,㈜교원프라퍼티 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67 ,90,064-738-3800,특이사항없음,33.2493321,126.4082147
관광호텔업,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242  ,225,064-733-2001,특이사항없음,33.2462908,126.5813639
관광호텔업,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537,288,064-780-8000,특이사항없음,33.3233757,126.8447677
관광호텔업,WE호텔,제주특별자치도 서귀포시 1100로 453-95,86,064-730-1200,특이사항없음,33.2861489,126.4444554
관광호텔업,CASALOMA HOTEL,제주특별자치도 서귀포시 태평로 347 ,108,064-733-2121,특이사항없음,33.2467345,126.5586743
관광호텔업,헤이서귀포,제주특별자치도 서귀포시 태평로 363  ,134,064-763-0024,특이사항없음,33.2462331,126.5603065
관광호텔업,호텔 더 그랑 서귀포,제주특별자치도 서귀포시 중정로 16,72,064-732-8311,특이사항없음,33.2473366,126.5581441
관광호텔업,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14 ,41,064-767-9600,특이사항없음,33.2468031,126.5658424
관광호텔업,머큐어 앰배서더 제주,제주특별자치도 서귀포시 안덕면 한창로 365,72,064-793-1000,특이사항없음,33.2928278,126.3476318
관광호텔업,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,74,064-766-5500,특이사항없음,33.3589908,126.7119415
관광호텔업,파인힐호텔,제주특별자치도 서귀포시 부두로 44,55,064-762-5988,특이사항없음,33.2413534,126.5644037
관광호텔업,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,31,064-739-0012,특이사항없음,33.2539452,126.5079762
관광호텔업,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15,204,064-735-8899,특이사항없음,33.2524864,126.5066594
관광호텔업,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15,41,064-738-1551,특이사항없음,33.2333618,126.3701046
관광호텔업,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,51,064-738-8981,특이사항없음,33.255789,126.4153799
관광호텔업,제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,110,064-798-5500,특이사항없음,33.3022751,126.2947784
관광호텔업,㈜조선호텔앤리조트 그랜드조선 제주,제주특별자치도 서귀포시 중문관광로72번길 60,248,064-735-8900,특이사항없음,33.249859,126.4049977
관광호텔업,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4,64,064-738-9902,특이사항없음,33.2528921,126.5083781
관광호텔업,풍경호텔,제주특별자치도 서귀포시 남성중로 147,48,064-733-3355,특이사항없음,33.2448563,126.5535325
관광호텔업,호텔화인,제주특별자치도 서귀포시 칠십리로 87,96,064-801-8888,특이사항없음,33.2405188,126.5650839
관광호텔업,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,45,064-802-8888,특이사항없음,33.2518948,126.4224038
관광호텔업,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222,262,064-731-5500,특이사항없음,33.2423055,126.4232514
관광호텔업,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135,105,064-766-1000,특이사항없음,33.2435819,126.5535596
관광호텔업,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12,55,064-763-0779,특이사항없음,33.2410573,126.564319
관광호텔업,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297,38,064-731-8888,특이사항없음,33.4637774,126.9343382
관광호텔업,오션블루호텔,제주특별자치도 서귀포시 이어도로 67,30,064-722-9991,특이사항없음,33.2388934,126.4303928
관광호텔업,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263  ,77,064-787-8841,특이사항없음,33.3271982,126.8336286
관광호텔업,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21,83,064-733-7500,특이사항없음,33.2498656,126.4238197
관광호텔업,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45,94,064-801-7000,특이사항없음,33.2396011,126.385934
관광호텔업,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,80,064-783-8877,특이사항없음,33.4381258,126.9158602
관광호텔업,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,250,064-752-7777,특이사항없음,33.2548845,126.4023408
관광호텔업,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,47,064-782-6650,특이사항없음,33.4623615,126.9309823
관광호텔업,호텔더본제주,제주특별자치도 서귀포시 색달로 18,139,064-766-8988,특이사항없음,33.2594337,126.4063059
관광호텔업,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20,202,064-766-3050,특이사항없음,33.4499881,126.9182865
관광호텔업,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,30,064-786-5353,특이사항없음,33.4425964,126.9185116
관광호텔업,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"1,720",064-908-6000,특이사항없음,33.3071802,126.3174379
관광호텔업,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,78,064-738-9780,특이사항없음,33.2586064,126.4139768
관광호텔업,삼매봉호텔,제주특별자치도 서귀포시 태평로 152,89,064-738-7765,특이사항없음,33.242896,126.5381128
관광호텔업,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,51,064-801-5000,특이사항없음,33.2441637,126.5223564
한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198   ,26,064-735-3000,특이사항없음,33.242596,126.4210209
가족호텔업,꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724 ,30,064-782-0800,특이사항없음,33.5291728,126.8123293
가족호텔업,그림리조트,제주특별자치도 제주시 서해안로 620-1   ,30,064-742-2080,특이사항없음,33.5163208,126.5035006
가족호텔업,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 ,43,064-799-2600,특이사항없음,33.4714919,126.351163
가족호텔업,올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,53,064-799-7770,특이사항없음,33.4755119,126.3562405
가족호텔업,베스트웨스턴 제주호텔,제주특별자치도 제주시 도령로 27  ,350,064-797-6000,특이사항없음,33.4878289,126.4818464
가족호텔업,다인호텔앤리조트(2차)(구.다인리조트 투(2차)),제주특별자치도 제주시 애월읍 애월해안로 400-9,39,064-799-2600,특이사항없음,33.4714919,126.351163
가족호텔업,㈜아모렉스리조트,제주특별자치도 제주시 서해안로 216 ,173,064-711-0125,특이사항없음,33.5074894,126.4702517
가족호텔업,제주나인리조트,제주특별자치도 제주시 해안마을북길 14-5,30,064-722-2222,특이사항없음,33.4648632,126.4535028
가족호텔업,오투힐리조트(구. (주)하바나호텔앤리조트),제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6 ,36,,특이사항없음,33.5290971,126.8463777
가족호텔업,탑스텐 빌라드애월(구.부띠끄호텔빌라드애월),제주특별자치도 제주시 애월읍 애월해안로 516-7,53,064-720-9000,특이사항없음,33.4774195,126.3599636
가족호텔업,로긴리조트,제주특별자치도 제주시 서해안로 442-11  ,31,064-723-3333,특이사항없음,33.5170358,126.4885373
가족호텔업,블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77,86,064-773-0800,특이사항없음,33.3813531,126.2180497
가족호텔업,위플 스테이(구.제주에어포트호텔),제주특별자치도 제주시 도령로 102,64,064-745-9555,특이사항없음,33.4909528,126.4887744
가족호텔업,오션패밀리호텔 스토리,제주특별자치도 제주시 일주서로 7531,30,064-712-3900,특이사항없음,33.4952795,126.4510239
가족호텔업,하이제주호텔(구.홍익제주호텔),제주특별자치도 제주시 한림읍 일주서로 5125,96,064-723-5801,특이사항없음,33.3917509,126.2533243
가족호텔업,호텔 펄리(구. ㈜호텔샹그릴라),제주특별자치도 제주시 노형로 79  ,124,064-726-0041,특이사항없음,33.4639105,126.4548563
가족호텔업,오로라호텔(구.아인피플 호텔),제주특별자치도 제주시 논세길 51,51,064-748-1700,특이사항없음,33.4894785,126.4421936
가족호텔업,샹그릴라호텔,제주특별자치도 제주시 해안마을북길 14-6,198,064-743-8098,특이사항없음,33.4635521,126.4537615
가족호텔업,에코그린리조트(구. 에코패밀리호텔),제주특별자치도 제주시 한림읍 귀덕6길 94,90,064-796-8333,특이사항없음,33.4357006,126.2915662
가족호텔업,이화호텔,제주특별자치도 제주시 도령로 155,64,064-745-8188,특이사항없음,33.4946988,126.4923134
가족호텔업,마레보가족호텔,제주특별자치도 제주시 애월읍 신엄안3길 135,95,064-799-2090,특이사항없음,33.4715276,126.3541906
가족호텔업,더제주리조트,제주특별자치도 제주시 한림읍 협재로 226,72,064-796-2908,특이사항없음,33.3785431,126.2512578
가족호텔업,수앤수리조트,제주특별자치도 제주시 애월읍 부룡수길60,40,064-799-7090,특이사항없음,33.4741615,126.3586953
가족호텔업,리치호텔,제주특별자치도 제주시 애월읍 고내로13길 100,32,064-799-1991,특이사항없음,33.4722441,126.3488103
가족호텔업,베드라디오 도두봉(구. 도두봉호텔),제주특별자치도 제주시 서해안로 204,36,064-748-8862,특이사항없음,33.5065442,126.4698031
가족호텔업,호텔펄리플러스,제주특별자치도 제주시 도두봉2길 2,125,064-702-0071,특이사항없음,33.5054815,126.4697222
가족호텔업,블루하와이호텔,제주특별자치도 제주시 한림읍 한림로 75,99,064-796-8191,특이사항없음,33.3807207,126.2183712
가족호텔업,샐리스 제주호텔,제주특별자치도 제주시 애월읍 고내리 46,55,064-801-0025,특이사항없음,33.4630284,126.3384173
가족호텔업,아길라 호텔,제주특별자치도 제주시 한림읍 옹포2길 10,31,064-798-7700,특이사항없음,33.3999521,126.2494938
가족호텔업,스카이호텔,제주특별자치도 제주시 한림읍 한림로 917,31,064-796-7900,특이사항없음,33.4328455,126.2761169
가족호텔업,블루스프링 부띠끄 호텔,제주특별자치도 제주시 한림읍 한림로 330,31,064-796-1781,특이사항없음,33.392976,126.2402397
가족호텔업,SUN STAY HOTEL,제주특별자치도 제주시 신광로 93,30,064-744-7545,특이사항없음,33.4836948,126.4901265
가족호텔업,그랑빌 가족호텔,제주특별자치도 서귀포시 중문관광로 17  ,42,064-739-9994,특이사항없음,33.2562588,126.4152251
가족호텔업,중문빌리지 가족호텔,제주특별자치도 서귀포시 예래로 270,30,064-738-3151,특이사항없음,33.2427395,126.3851905
가족호텔업,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 256-5,30,064-794-6307,특이사항없음,33.2118276,126.2915646
가족호텔업,담앤루,제주특별자치도 서귀포시 이어도로343번길 63  ,43,064-739-6617,특이사항없음,33.247142,126.451081
가족호텔업,뷰티플리조트,제주특별자치도 서귀포시 이어도로253번길 2  ,32,064-738-7407,특이사항없음,33.2431059,126.4466525
가족호텔업,중문리조트,제주특별자치도 서귀포시 색달로 117,44,064-738-0085,특이사항없음,33.2624172,126.4156649
가족호텔업,아라온리조트,제주특별자치도 서귀포시 소보리당로 220,55,,특이사항없음,33.2626513,126.3842078
가족호텔업,중문통나무가족호텔,제주특별자치도 서귀포시 중산간서로594번길 7-28,30,064-738-8383,특이사항없음,33.2645157,126.4509683
가족호텔업,와이리조트 제주,제주특별자치도  서귀포시 안덕면 화순중앙로124번길 75,32,064-794-7007,특이사항없음,33.2425613,126.3276357
가족호텔업,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20 ,104,,특이사항없음,33.4591059,126.9102124
가족호텔업,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644  ,38,064-782-1300,특이사항없음,33.4752576,126.9101107
가족호텔업,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11,31,064-783-1000,특이사항없음,33.4299289,126.8619656
가족호텔업,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,46,064-784-2211,특이사항없음,33.4738934,126.9108755
가족호텔업,H.Y 초이호스텔 ,제주특별자치도 서귀포시 태평로335번길 11-1,32,064-732-3070,특이사항없음,33.2470814,126.5583908
가족호텔업,파미유리조트 가족호텔,제주특별자치도 서귀포시 이어도로 826-6,35,064-738-9186,특이사항없음,33.2352002,126.5029241
가족호텔업,호텔 섬오름,제주특별자치도 서귀포시 막숙포로 114,53,064-800-7200,특이사항없음,33.2331153,126.5105079
가족호텔업,키코앤일레인,제주특별자치도 서귀포시 일주서로 660,42,064-738-2013,특이사항없음,33.2546584,126.4392868
가족호텔업,봄그리고가을 가족호텔,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,86,064-784-2211,특이사항없음,33.4744609,126.9105998
가족호텔업,토스카나호텔,제주특별자치도 서귀포시 용흥로66번길 158-7,99,064-735-7000,특이사항없음,33.2654814,126.4842785
가족호텔업,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,61,064-780-3000,특이사항없음,33.4483875,126.9119374
가족호텔업,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40,34,064-782-3100,특이사항없음,33.4663987,126.9309357
가족호텔업,더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,144,064-797-7700,특이사항없음,33.4736366,126.910674
가족호텔업,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,40,064-784-0000,특이사항없음,33.4665462,126.9307256
가족호텔업,제이뷰호텔,제주특별자치도 서귀포시 중산간서로 935,37,064-739-5200,특이사항없음,33.264604,126.4164785
가족호텔업,호텔 휴식 서귀포,제주특별자치도 서귀포시 중앙로71번길 17,74,064-730-5000,특이사항없음,33.2503963,126.5595467
가족호텔업,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186,236,064-783-0053,특이사항없음,33.4549638,126.9101393
가족호텔업,썬라이즈호텔 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,40,064-784-7848,특이사항없음,33.4366809,126.9182877
가족호텔업,제이앤비 가족호텔,제주특별자치도 서귀포시 토평남로30번길 10-8,31,064-733-8864,특이사항없음,33.2606097,126.5926485
가족호텔업,글레즈하임호텔,제주특별자치도 서귀포시 이어도로 777,42,064-735-0200,특이사항없음,33.2366898,126.4980542
가족호텔업,산방산호텔,제주특별자치도 서귀포시 대정읍 일주서로 2093,67,064-909-9999,특이사항없음,33.2497944,126.2933203
호스텔업,아마스빌 리조트(구.아마스빌 호스텔),제주특별자치도 제주시 애월읍 신엄안3길 101,20,064-799-7300,특이사항없음,33.4724193,126.3570744
호스텔업,길리 리조트(구.협재 사계절 리조트),제주특별자치도 제주시 한림읍 명재로 100-47 ,28,064-796-3721,특이사항없음,33.390623,126.2604127
호스텔업,해미안,제주특별자치도 제주시 일주서로 7353  ,20,064-713-2001,특이사항없음,33.4937381,126.4322151
호스텔업,용두암캐빈,제주특별자치도 제주시 어영길 32  ,20,064-712-2550,특이사항없음,33.518068,126.4964728
호스텔업,라이트프리(구. 에바다호스텔),제주특별자치도 제주시 현사길 45  ,30,064-744-1398,특이사항없음,33.497294,126.447419
호스텔업,카이 호스텔,제주특별자치도 제주시 한림읍 협재2길 10,23,064-796-2428,특이사항없음,33.3921364,126.241274
호스텔업,이호리조트,제주특별자치도 제주시 도리로 106-16  ,24,064-711-6625,특이사항없음,33.4994276,126.463362
호스텔업,씨클리프호텔제주(구. 윈드힐호텔&리조트),제주특별자치도 제주시 애월읍 애월해안로 554-8,41,064-799-3544,특이사항없음,33.4776667,126.3629138
호스텔업,스완지,제주특별자치도 제주시 서해안로 84,25,064-744-6700,특이사항없음,33.5030989,126.4580686
호스텔업,화이트하우스(구 ㈜호텔 알리앙스),제주특별자치도 제주시 서해안로 380,20,064-712-3200,특이사항없음,33.5123696,126.4845371
호스텔업,에덴호스텔,제주특별자치도 제주시 서해안로 456-12  ,20,064-749-0006,특이사항없음,33.518435,126.489241
호스텔업,제주 조이황토리조트(구. 조이 황토리조트),제주특별자치도 제주시 애월읍 신상로 258,24,064-743-8114,특이사항없음,33.4493165,126.36665
호스텔업,레브호텔제주,제주특별자치도 제주시 은남1길15,31,064-745-8228,특이사항없음,33.4890771,126.4941485
호스텔업,하모니리조트,제주특별자치도 제주시 한림읍 협재로 213,20,064-796-8441,특이사항없음,33.3792626,126.2520542
호스텔업,제이투(J2),제주특별자치도 제주시 삼무로3길 37,30,064-713-2400,특이사항없음,33.4903019,126.491848
호스텔업,이호MH호텔(구. 레드월 호스텔),제주특별자치도 제주시 현사길 33,20,064-743-6444,특이사항없음,33.4970827,126.4484315
호스텔업,애월오션스테이(구.씨앤힐 스파펜션),제주특별자치도 제주시 애월읍 애월해안로 412,20,064-747-7007,특이사항없음,33.4729316,126.3524095
호스텔업,관광호스텔해밀,제주특별자치도 제주시 애월읍 광상로 272,21,064-799-3033,특이사항없음,33.4436259,126.404108
호스텔업,크라운골프텔,제주특별자치도 제주시 조천읍 북선로 125,25,064-784-4811,특이사항없음,33.5286642,126.6961026
