연번,관광지명,관광지 분야,관광지 구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
31,강정천유원지,자연,관광지,제주특별자치도 서귀포시 강정통물로,제주특별자치도 서귀포시 강정통물로 (강정동),33.233772,126.490567,16000,공용주차장+화장실(1동)+안내시설,게스트하우스+가족펜션,,700,82,강정마을은 서귀포시 최남단 마을로 옛부터 물이 많아 물 강· 물 정을 써 이름 붙여졌다. 마을 동쪽 위치한 강정천은 한라산 암반수가 항상 흘러 서귀포 식수 70%를 공급하며 수려한 자연경관을 뽐낸다. 제주에서 보기 힘든 은어가 서식하며 천연기념물 제 327호 원앙새가 날아다닌다.,064-760-3942,제주특별자치도 서귀포시,2022-12-01
32,개미목,자연,관광지,,,33.379083,126.531853,,,,,,,관음사 등산로 입구에서 4.9km 정도 올라가면 보이는 산등성이로 화산침식잔구(火山浸蝕殘丘)다. 해발 1·200m 지점에 위치한다. 지형이 개미 목처럼 생겨 해당 명칭이 붙었고· 개미등이라 불리기도 한다. 예부터 많은 사람이 명당 묫자리로 생각했다. 현재 산장이 있고 제주특별자치도 일대 경치가 보여 한라산 등산객의 쉼터로 각광받는다.,064-710-2114,제주특별자치도청,2022-12-01
33,개오름,자연,관광지,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,제주특별자치도 서귀포시 표선면 성읍리 2974,33.423961,126.768737,285187,안내시설+주차장,,,61997,5,산정부 남쪽이 정상이고 북쪽은 봉긋 부풀어 그 사이가 다소 우묵졌고· 동서사면으로 작은 골이 얕게 패였다. 기생화산체로 남동사면에는 해송과 삼나무가 있다. 그 외 지역은 어린나무와 술패랭이· 가시쑥부쟁이· 낭아초· 피뿌리풀 등이 식생한다. 오름 모양이 개 같아 구악(狗岳)이라 표기하며 옛날엔 밥뚜껑 같아 개악(蓋岳)이라 적었다.,064-740-6000,제주관광정보센터,2022-12-01
34,개오리오름,자연,관광지,,,33.42606,126.612492,640913,,,,139329,,개오리오름은 세 봉우리의 화산체로 5.16도로 근처 목장의 동쪽에 있다. 주봉(743m)에 송신탑이 있고· 족은개오리(664m) 북쪽에 서향으로 말굽형 화구를 갖는다. 가운데 샛개오리(658m)는 원추형 작은 오름이다. 오름 형세가 가오리를 닮아 이름 지어졌다. 개가 머리를 들고 짖는 모양 같아 개월오름이라고도 한다.,064-740-6000,제주관광정보센터,2022-12-01
35,개월오름,오름,관광지,,제주특별자치도 제주시 봉개동 산 78-1 일대,33.439207,126.628646,,,,,,,개월오름은 세 봉우리의 화산체로 5.16도로 근처 목장의 동쪽에 있다. 주봉(743m)에 송신탑이 있고· 족은개오리(664m) 북쪽에 서향으로 말굽형 화구를 갖는다. 가운데 샛개오리(658m)는 원추형 작은 오름이다. 오름 형세가 가오리를 닮아 이름 지어졌다. 개가 머리를 들고 짖는 모양 같아 개월오름이라고도 한다.,064-710-2114,제주특별자치도청,2022-12-01
36,갤러리2 중선농원,예술,관광지,제주특별자치도 제주시 영평길 269,제주특별자치도 제주시 월평동 13483,33.478135,126.57017,903,주차장+화장실,펜션+가족호텔,,196,20,영평길에 있는 이 갤러리는 감귤밭을 그대로 유지해 제주특별자치도 정취를 누릴 수 있다. 감귤을 보관하던 창고는 갤러리2· 작은 창고는 카페· 곳간은 도서관 ‘청신재’로 사용한다. 제주에서 쉽게 접할 수 없던 중견 작가의 개인전이 주로 열린다., 064-755-2112,제주특별자치도청,2022-12-01
37,거린사슴전망대,기타,관광지,제주특별자치도 서귀포시 1100로 791,,33.307507,126.454713,,,,,,,한라산 중턱에 있는 거린사슴오름은 실제 사슴이 살았다고 전해진다. 이 전망대에서 숲섬· 범섬· 문섬 등을 볼 수 있다. 서귀포의 명승지가 파노라마 사진에 잘 설명돼 있다.,064-710-2114,제주특별자치도청,2022-12-01
38,거린오름(북오름),자연,관광지,,제주특별자치도 서귀포시 안덕면 동광리 산 94,33.303302,126.331098,143140,,리조트+호텔+게스트하우스,,31117,,거린오름은 안덕면 동광리에 있고 봉우리가 두 갈래로 갈린다. 이름은 갈리다의 옛말인 가리다의 제주방언· 거리다에서 왔다.,064-740-6000,제주관광정보센터,2022-12-01
39,거문오름,자연,관광지,제주특별자치도 제주시 조천읍 선교로 569-36,제주특별자치도 제주시 조천읍 선흘리 478,33.454624,126.71797,2109410,주차장+화장실+음료대+안내소+피난시설,게스트하우스,2005-01-06,458567,240,거문오름(해발456m)은 숲이 우거져 검은 오름이라 한다. 지질학 가치가 높은 용암동굴계 모체로 유일하게 유네스코 세계자연유산에 등재되었다. 제주도자연유산 학술조사에 따르면 거문오름 주변 동굴 규모는 세계적인 수준이다.,064-740-6000,제주관광정보센터,2022-12-01
40,거믄여해안경승지,자연,관광지,제주특별자치도 서귀포시 516로,,33.244472,126.585147,23800,공용주차장,게스트하우스+가족펜션,,5174,10,서귀포 관광의 매력을 잘 나타내며 근처 정방폭포· 파라다이스호텔이 있다. 용암으로 생긴 화산암· 기암절벽을 볼 수 있고 산책과 낚시를 즐기는 관광객이 즐겨 찾는다.,064-760-2772,제주특별자치도청,2022-12-01
41,거슨새미오름,자연,관광지,,제주특별자치도 제주시 구좌읍 송당리 산 145,33.451329,126.760453,429942,공용주차장,펜션+게스트하우스,,93466,25,구좌읍 송당리에 있다. 제주특별자치도 용천은 주로 바다를 향하는데 이곳 샘은 거꾸로 한라산으로 흘러 이름 붙여졌다. 한자로는 천악(泉岳) 혹은 역수산(逆水山)으로 표기되었다. 남쪽 등성이는 목장이고 정상에 경방초소가 있다. 오름밭 일대 전망을 볼 수 있다.,064-740-6000,제주관광정보센터,2022-12-01
42,거인악,자연,관광지,,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.353184,126.658365,206352,,,,44859,,거인악은 안덕면 동광리에 있고 봉우리가 두 갈래로 갈린다. 이름은 갈리다의 옛말인 가리다의 제주방언· 거리다에서 왔다.,064-712-6988,제주특별자치도청,2022-12-01
43,거인의 정원,예술,관광지,제주특별자치도 제주시 대원길 58,제주특별자치도 제주시 아라1동 28531,33.471843,126.535325,1320,주차장+화장실,관광호텔+가족호텔,,287,20,1층 카페· 2층 갤러리로 보름마다 전시가 열린다. 공정무역 유기농 커피와 유기농 차를 즐길 수 있다. 포토존도 마련되어 색다른 분위기를 누릴 수 있다., 064-702-3237,제주특별자치도청,2022-12-01
44,거친오름,자연,관광지,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산51-2,33.445829,126.620413,311524,주차장+화장실+음료대+안내소,리조트,,67723,135,봉개동 명도암 마을에 있고 산세가 험해 거친오름이라 부른다. 오름 남측 기슭에 진물 굼부리라는 분화구가 있다. 전사면에는 낙엽수가 주로 있고 해송과 상록활엽수가 혼재한 자연림을 이룬다.,064-740-6000,제주관광정보센터,2022-12-01
45,건강과성박물관,기타,관광지,제주특별자치도 서귀포시 안덕면 일주서로 1611,,33.254832,126.346797,7000,,,,,,서귀포 산방산과 중문관광단지 사이 위치한다. 7000㎡ 의 전시공간과 야외 조각공원이 합쳐져 세계 최대 성박물관이다. 성을 건강하게 보고 느끼도록 다양한 전시가 구성됐다. 야외 조각공원· 내부 성교육· 성문화 전시관으로 나뉘었던 공간이 2층으로 확장하면서 현재 6가지 테마로 재구성했다（S-Education· S-Culture· S-Fantasy· S-Gallery· S-Book cafe· S-Store）.,064-710-2114,제주특별자치도청,2022-12-01
46,걸매생태공원,자연,관광지,제주특별자치도 서귀포시 남성로,,33.252176,126.554528,60214,공용주차장+화장실(2동)+음료대+유도 및 안내시설,가족호텔+게스트하우스,,13090,27,계절 별 다양한 군락지를 무료로 볼 수 있다. 서귀포민도 자주 오며 봄이 되면 매화를 관람하러 관광객이 많이 찾는다. 산책로 아래 하천이 흐르며 백로와 오리 떼를 볼 수 있다. 산책로가 잘 조성되어 유모차나 휠체어도 이동이 편리하다.,064-760-3191,제주특별자치도청,2022-12-01
